동별(2),동별(3),0세~9세,10대,20대,30대,40대,5-60대,70대 이상,외국인
종로구,사직동,513,665,1084,1438,1415,2694,1278,404
종로구,삼청동,85,172,279,295,333,754,413,87
종로구,부암동,421,854,1164,1164,1433,2988,1217,379
종로구,평창동,1084,1529,2190,2108,2559,5915,2278,430
종로구,무악동,570,943,853,853,1310,2493,1001,96
종로구,교남동,767,799,1128,1482,1731,2797,1112,326
종로구,가회동,168,297,445,511,655,1253,612,154
종로구,종로1.2.3.4가동,169,200,970,947,867,2462,1113,811
종로구,종로5.6가동,138,211,1189,808,551,1668,735,587
종로구,이화동,198,339,1573,1224,860,1967,940,673
종로구,창신1동,113,193,588,578,517,1903,754,1176
종로구,창신2동,182,370,1048,899,879,3148,1180,1786
종로구,창신3동,326,457,858,906,831,2264,807,279
종로구,숭인1동,210,354,728,794,843,2020,820,486
종로구,숭인2동,225,320,2355,1773,1127,2922,1085,884
종로구,청운효자동,679,1107,1449,1564,2018,3285,1526,229
종로구,혜화동,555,1277,4383,1998,2015,3984,1931,3222
중구,소공동,160,124,253,488,511,560,148,521
중구,회현동,175,217,452,539,589,1769,803,607
중구,명동,78,136,336,379,387,947,476,614
중구,필동,164,187,710,694,456,1197,565,937
중구,장충동,139,283,1217,673,532,1150,577,1084
중구,광희동,113,191,1071,958,574,1555,740,1648
중구,을지로동,43,39,231,312,163,595,278,230
중구,신당5동,511,506,1570,1719,1431,3204,1239,679
중구,황학동,697,454,2121,2877,1816,3316,1323,1488
중구,중림동,963,721,1272,2047,2028,3496,1482,498
중구,신당동,252,250,1385,1326,1015,2388,1002,2321
중구,다산동,470,735,2204,2173,1781,4213,1898,822
중구,약수동,926,906,1877,2274,2322,5377,2713,454
중구,청구동,648,788,1727,2129,1727,4264,1916,387
중구,동화동,625,785,1193,1273,1436,3396,1316,349
용산구,후암동,791,1116,2336,2765,2419,4906,1988,766
용산구,용산2가동,282,445,1356,1629,1276,2622,1406,1453
용산구,남영동,147,239,875,1031,926,2954,928,691
용산구,원효로2동,794,1082,1884,2237,2043,4068,1570,233
용산구,효창동,813,714,1585,2004,1632,2908,1087,218
용산구,용문동,657,683,1686,1938,1623,3477,1489,220
용산구,이촌1동,2308,2710,2541,2968,4274,7299,2970,1343
용산구,이촌2동,482,484,804,1303,1159,2628,1167,191
용산구,이태원1동,211,230,997,1117,774,1927,861,1987
용산구,이태원2동,376,434,1306,1640,1291,2422,1262,1721
용산구,서빙고동,688,1401,1655,1401,2221,3793,1431,801
용산구,보광동,334,632,1943,2011,1752,4296,1747,1832
용산구,청파동,554,1014,4151,3331,2456,5437,2151,1042
용산구,원효로1동,1195,945,2935,4102,2690,4005,1272,719
용산구,한강로동,1250,994,3384,4887,2832,5886,2010,2093
용산구,한남동,1091,1118,2365,3683,3144,5786,2321,2969
성동구,왕십리2동,1164,1083,2277,2793,2449,4821,1717,674
성동구,마장동,1085,1508,4180,3187,2772,6652,2650,1138
성동구,사근동,380,733,4890,1578,1087,2228,1085,2090
성동구,행당1동,914,969,2136,2232,2069,3885,1471,536
성동구,행당2동,1654,1928,2699,3452,3674,6948,2701,230
성동구,응봉동,1044,1551,1718,2033,2732,4215,1754,155
성동구,금호1가동,1173,1074,1606,2383,2547,4496,1777,226
성동구,금호4가동,1229,928,1372,2358,2545,4025,1641,414
성동구,성수1가1동,940,1007,2326,2861,2216,5326,1413,610
성동구,성수1가2동,642,798,1766,2300,1835,3523,1259,526
성동구,성수2가1동,683,782,1973,2513,2014,5500,1791,1006
성동구,성수2가3동,518,476,1791,1820,1382,3100,1204,418
성동구,송정동,426,516,1586,1530,1396,3493,1134,736
성동구,용답동,291,558,2490,1815,1467,3554,1475,1545
성동구,왕십리도선동,2091,1655,4187,4385,3978,7547,2577,935
성동구,금호2.3가동,1635,1301,2608,3899,3581,6613,2616,439
성동구,옥수동,2366,1640,2533,4531,4495,7239,2781,769
광진구,화양동,331,712,10375,4685,2095,3701,1538,3739
광진구,군자동,712,979,4326,3627,2540,5188,2053,2740
광진구,중곡1동,611,680,2857,2980,1950,4568,1653,710
광진구,중곡2동,915,1298,3464,3802,2894,6424,2202,698
광진구,중곡3동,650,870,2478,2696,2145,5182,1924,519
광진구,중곡4동,1147,1755,4087,4048,3760,9807,3431,717
광진구,능동,490,506,2274,2482,1622,2719,1087,471
광진구,구의1동,928,1225,4899,4647,3291,6222,2175,1167
광진구,구의2동,1481,2221,3437,3694,4164,8155,2891,848
광진구,구의3동,1672,2378,4310,4457,4213,8419,2762,621
광진구,광장동,2658,5405,3907,3345,7052,9257,2544,370
광진구,자양1동,789,1431,3955,3755,3189,6371,2372,1814
광진구,자양2동,1355,1735,3322,3681,3686,7616,2551,763
광진구,자양3동,2062,2485,3581,3868,4329,8427,2801,632
광진구,자양4동,646,789,2948,2934,2308,5899,2402,5844
동대문구,회기동,354,672,3528,1465,1245,2183,1099,2693
동대문구,휘경1동,752,762,3698,2159,1666,3408,1486,2620
동대문구,휘경2동,1022,1998,5506,2804,3284,6503,2712,1117
동대문구,청량리동,678,986,2069,2048,2220,6956,3653,965
동대문구,용신동,1615,1620,6605,6258,4803,9613,4045,2403
동대문구,제기동,886,1287,4535,3150,2790,7518,4041,2789
동대문구,전농1동,1605,1779,4435,3959,4000,9070,3812,926
동대문구,전농2동,1096,1609,2037,2085,2802,6023,2533,627
동대문구,답십리2동,1694,1805,3276,4225,3916,9064,3813,590
동대문구,장안1동,2240,2584,5087,6211,6219,11432,4295,1081
동대문구,장안2동,2552,2845,3733,4765,5698,9411,3383,729
동대문구,이문1동,607,1207,5094,2151,2105,4610,2281,3741
동대문구,이문2동,1091,1649,2721,2382,2907,6140,2787,755
동대문구,답십리1동,2450,1931,3905,4905,4753,7480,2713,730
중랑구,면목2동,1053,1412,3100,3358,3310,8543,3073,709
중랑구,면목4동,937,1171,2284,2506,2813,6169,2583,627
중랑구,면목5동,1370,857,1622,2569,2397,4436,1463,261
중랑구,면목7동,1091,1118,2846,3226,2980,7335,2877,623
중랑구,상봉1동,1561,1806,3116,3524,3338,7740,2466,337
중랑구,상봉2동,771,671,4105,4681,2493,5583,1948,664
중랑구,중화1동,1009,1219,2498,3104,2627,6261,2399,375
중랑구,중화2동,955,1051,3479,3654,3176,8888,3289,999
중랑구,묵1동,1908,2990,4893,4571,5394,10409,3965,432
중랑구,묵2동,836,1089,2517,2728,2715,6128,2362,489
